make,model,gen_start,gen_end,trim,tier,tier_name,top_engine,audio_brand,expected_parts,notes,cult
Dodge,Ram 1500,2002,2008,ST,1,base,3.7L V6,,,Base work truck,
Dodge,Ram 1500,2002,2008,SLT,2,mid,4.7L V8,Infinity,Infinity amp if equipped,Most common trim at yards,
Dodge,Ram 1500,2002,2008,Laramie,3,premium,5.7L HEMI,Infinity,"Infinity amp, heated seats, power seats, auto-dim mirror",HEMI is the money engine,
Dodge,Ram 1500,2002,2008,SRT-10,4,performance,8.3L V10,Infinity,"Infinity amp, Viper V10 ECM, performance modules",Rare - Viper engine swap truck,
Ram,1500,2009,2018,Tradesman,1,base,3.6L V6,,,Fleet/work truck. Sometimes called ST pre-2013,
Ram,1500,2009,2018,Express,1,base,5.7L HEMI,,,"Appearance pkg on base, HEMI available but no premium modules",
Ram,1500,2009,2018,SLT,2,mid,5.7L HEMI,,"Power seats possible, basic cluster",Volume trim. HEMI common.,
Ram,1500,2009,2018,Big Horn,2,mid,5.7L HEMI,,"Power seats, chrome trim, upgraded cluster",Also called Lone Star in TX. Same trim.,
Ram,1500,2009,2018,Lone Star,2,mid,5.7L HEMI,,"Power seats, chrome trim, upgraded cluster",Texas-market name for Big Horn,
Ram,1500,2009,2018,Sport,2,mid,5.7L HEMI,Alpine,"Alpine amp (if equipped), sport hood, R/T badge pre-2013",Appearance-focused but can have Alpine,
Ram,1500,2009,2018,Laramie,3,premium,5.7L HEMI,Alpine,"Alpine 9-speaker amp, heated/cooled seats, heated steering wheel, power folding mirrors, auto-dim mirror, park assist",First reliably premium trim,
Ram,1500,2009,2018,Laramie Longhorn,3,premium,5.7L HEMI,Alpine,"Alpine amp, heated/cooled seats, heated steering wheel, ventilated seats, nav, premium cluster, 360 camera (late), power running boards",Longhorn = western luxury,
Ram,1500,2009,2018,Limited,3,premium,5.7L HEMI,Harman Kardon,"Harman Kardon 19-speaker amp, heated/cooled seats, heated steering wheel, air suspension, power running boards, 360 camera, adaptive cruise",Top trim. HK audio is distinctive.,
Ram,1500,2009,2018,Rebel,2,mid,5.7L HEMI,,"Off-road suspension, Bilstein shocks, skid plates","Off-road focused, not premium audio",
Ram,1500,2009,2018,Night,2,mid,5.7L HEMI,,"Blacked out trim, sport hood","Appearance package, not premium",
Ram,1500,2019,2025,Tradesman,1,base,3.6L V6,,,"Base work truck, eTorque mild hybrid available",
Ram,1500,2019,2025,Big Horn,2,mid,5.7L HEMI,,"Power seats, 8.4in Uconnect, blind spot monitoring possible",Volume seller,
