make,model,gen_start,gen_end,trim,tier,tier_name,top_engine,audio_brand,expected_parts,notes,cult
Honda,Accord,1998,2002,DX,1,base,2.3L I4,,,F23 engine,
Honda,Accord,1998,2002,LX,1,base,2.3L I4,,,,
Honda,Accord,1998,2002,EX,2,mid,2.3L I4,,"Moonroof, power seats, ABS",,
Honda,Accord,1998,2002,EX V6,3,premium,3.0L V6,,"V6 ECM, leather, moonroof, power seats",J30 V6,
Toyota,Camry,1997,2001,CE,1,base,2.2L I4,,,5S-FE engine,
Toyota,Camry,1997,2001,LE,1,base,2.2L I4,,,,
Toyota,Camry,1997,2001,XLE,3,premium,3.0L V6,JBL,"JBL amp, V6 ECM, heated leather, moonroof, power seats",1MZ-FE V6,
Nissan,Sentra,1998,2001,Base,1,base,1.8L I4,,,,
Nissan,Sentra,1998,2001,GXE,1,base,1.8L I4,,,,
Nissan,Sentra,1998,2001,SE,2,mid,2.0L I4,,"Sport suspension, ABS, power pkg",SR20DE,
Nissan,Sentra,2007,2012,S,1,base,2.0L I4,,,MR20DE,
Nissan,Sentra,2007,2012,SL,3,premium,2.0L I4,,"Heated leather, moonroof, nav, rear camera",,
Nissan,Sentra,2007,2012,SE-R,3,premium,2.5L I4,,"QR25DE ECM, sport suspension, rear disc brakes",,CULT
Nissan,Sentra,2007,2012,SE-R Spec V,4,performance,2.5L I4 (200hp),,"Spec V ECM, sport suspension, LSD, 6-speed",,CULT
Nissan,Sentra,2013,2019,S,1,base,1.8L I4,,,,
Nissan,Sentra,2013,2019,SV,2,mid,1.8L I4,,"Heated seats, rear camera, blind spot possible",,
Nissan,Sentra,2013,2019,SR,2,mid,1.8L I4,,"Sport suspension, sport seats, moonroof possible",,
Nissan,Sentra,2013,2019,SL,3,premium,1.8L I4,Bose,"Bose amp, heated leather, moonroof, nav, blind spot",,
Nissan,Sentra,2013,2019,NISMO,4,performance,1.6L Turbo I4,,"Turbo ECM, sport suspension, sport exhaust, Recaro seats, 188hp",2017+,CULT
Nissan,Pathfinder,1996,2004,XE,1,base,3.3L V6,,,VG33E,
Nissan,Pathfinder,1996,2004,SE,2,mid,3.5L V6,,"Power seats, moonroof, rear diff lock possible",VQ35DE from 2001,
Nissan,Pathfinder,1996,2004,LE,3,premium,3.5L V6,Bose,"Bose amp, heated leather, moonroof, rear entertainment possible",,
Nissan,Titan,2004,2015,S,1,base,5.6L V8,,,VK56DE/VK56VD. All Titans are V8.,
Nissan,Titan,2004,2015,SV,2,mid,5.6L V8,,"Power seats, Bluetooth, tow pkg",,
Nissan,Titan,2004,2015,PRO-4X,3,premium,5.6L V8,,"Off-road suspension, Bilstein shocks, skid plates, locking rear diff, heated seats",,
